f1,f2,f3,f4,f5,label
0.3843163887809487,0.5487333529677608,0.5043928378813992,0.6042943171410265,0.1283243725640793,1
0.1646947966049674,0.3843893119256771,0.1639882278784969,0.1525331506711835,0.8028586152177654,0
0.092991649413909,0.7703134079894389,0.1714524367516298,0.0053205827098727,0.8808555944047387,0
0.6444535179933033,0.5649903445556901,0.0734627584876136,0.1736767699131071,0.7936359699362106,0
0.7396508534137736,0.2222938131842261,0.8805489078342038,0.3357691766026672,0.0343440554312465,1
0.654219389512354,0.4406488883226606,0.1400143714377176,0.7004581437510354,0.4033490008871803,0
0.6049642306285069,0.9129388990309202,0.6251950595526742,0.8035766784064672,0.7419886886842275,1
0.1627540973413382,0.8686818671444011,0.15248271983572,0.9496093979907956,0.3172160281290969,0
0.576733603428329,0.6931618686877485,0.3564336829162794,0.7265195510546846,0.2207574380338044,1
0.2892767924624301,0.3398415351834887,0.3018138898554467,0.9243856447476552,0.247479920402961,0
0.8127849408681541,0.0356601833023544,0.095101939237901,0.6786048031708987,0.2084087103041936,0
0.1326804913177001,0.7617055525495489,0.3694808388638356,0.3118685876361101,0.7189615238891357,0
0.9670888149138545,0.3623951151504698,0.68326047811579,0.695670643901655,0.9067312590722556,1
0.7787160832213789,0.0192668376741457,0.0906512663276389,0.941994687267963,0.732384070797969,0
0.9848569152282473,0.3611368009530971,0.9523953398730236,0.1499812044891397,0.7473010999817605,1
0.7617922611822359,0.5337445844687531,0.2399318721798351,0.9110921321691264,0.4514088783723576,0
0.7773373291787878,0.449445545966371,0.7860723392224132,0.3157087929271067,0.5413419013311466,1
0.7040299792465496,0.9769528446439952,0.3738717532893805,0.6646597028157419,0.3541902994995169,1
0.0091026676071281,0.7593473067799436,0.4860012317280305,0.3492816600349515,0.0852923407141048,0
0.3899559509846698,0.0104831063604634,0.6649882864906571,0.0525384782853628,0.2528238449743235,0
0.8753792486779182,0.6407810975063722,0.094109918681067,0.6826015621083311,0.2695228301462989,1
0.7010501133397948,0.3496259064901744,0.1343175666939614,0.3798453559853066,0.1216136672457725,0
0.6137192836459566,0.9087557313537576,0.8368660598894677,0.8586755157229266,0.0997070362042026,1
0.0358723666441745,0.6136167300788193,0.0794043509583436,0.3431940680442625,0.7504150067895897,0
0.192891781726778,0.9177048055298416,0.1834852631266812,0.9676425818080712,0.9162818373002644,0
0.1497286300209013,0.826287344411536,0.484323866593736,0.9595975625753392,0.892236710944246,0
0.7632109047859064,0.713092648302428,0.2623228303338576,0.1982264068923596,0.3577270191039225,1
0.8689550656514533,0.4858573900663757,0.8620481372039676,0.2437803723107929,0.6732128014207029,1
0.5696383405080395,0.7712206475415346,0.958997331311196,0.3057056476568064,0.6849131573478432,1
0.9726636180346072,0.7859175942889401,0.6829786602163995,0.4290173730786929,0.4275787555819297,1
0.4299401607297168,0.5481274573242813,0.3118007265685536,0.9960809774508006,0.4581409949709242,0
0.0821370280793036,0.8523683367577559,0.3988352050860798,0.7022941003281211,0.0645692427751936,0
0.3552118442125553,0.6078885517004287,0.4982512438611378,0.2181660150421319,0.4738821937136444,0
0.3665711782615493,0.8805089256556572,0.9292011474150454,0.7244735404704684,0.0285657546611602,1
0.976067112387244,0.0816946518430026,0.1506509102683831,0.8776159434459206,0.7124567426165052,0
0.4037823531417336,0.2077989387399421,0.6945769395745697,0.2919009234923675,0.3355675743809112,0
0.9260132051175766,0.5728883153540238,0.5438989779037287,0.5118951776691361,0.2843554519929666,1
0.3182506488286523,0.5632901194015126,0.0853980525342323,0.5081001514248582,0.3341314391937303,0
0.8971938908197086,0.7304648229199349,0.5305635329925118,0.1004558807484511,0.9470369652815642,1
0.6182586852216722,0.5960785982386693,0.7982902997891863,0.2848505504095725,0.2180290783825498,1
0.4831875259388078,0.061398011537376,0.1949264814891488,0.2329369826883576,0.694772233240824,0
0.8616792740410333,0.320840826974119,0.8816401481848398,0.2997484239791622,0.6078134655007809,1
0.5335641967374672,0.113434193401101,0.1107356182304174,0.5452677455132562,0.3240238099576426,0
0.0729247214028342,0.2028975623727239,0.4507804652642208,0.1331378705414353,0.0055410874442376,0
0.0253256420919116,0.5876994000808851,0.8429371120632155,0.6532575845085595,0.4828356746004493,0
0.0540098800169558,0.2498429066248203,0.199452912587942,0.1584344129950913,0.3379807819432876,0
0.10801878405961,0.5319910467352227,0.6857032648302799,0.9362673287848104,0.9075383088839905,0
0.6277651943631091,0.4724870748117321,0.3654592792835087,0.3628788377763308,0.3650936640136639,0
0.6431890198034629,0.7162125555217783,0.8515935733949371,0.5922531520398463,0.9254384982207674,1
0.7488862994394414,0.0264315098375429,0.7539757780635346,0.99849140999737,0.5944980396836994,0
